코레일,1호선,두정,충청남도 천안시 서북구 두정동 84-1,충청남도 천안시 서북구 두정로 289,안시 서
코레일,1호선,천안,충청남도 천안시 동남구 대흥동 57-1,충청남도 천안시 동남구 대흥로 239,안시 동
코레일,1호선,봉명,충청남도 천안시 동남구 봉명동 20-2,충청남도 천안시 동남구 차돌로 51,안시 동
코레일,1호선,쌍용,충청남도 천안시 서북구 쌍용동 426-3,충청남도 천안시 서북구 쌍용19로 20,안시 서
코레일,1호선,아산,충청남도 아산시 배방읍 장재리 268,충청남도 아산시 배방읍 희망로 90 ,산시 배
코레일,1호선,배방,충청남도 아산시 배방읍 구령리 148-2,충청남도 아산시 배방읍 온천대로 1967 ,산시 배
코레일,1호선,온양온천,충청남도 아산시 온천동 56-9,충청남도 아산시 온천대로 1496,산시 온
코레일,1호선,신창,충청남도 아산시 신창면 행목리 346-49,충청남도 아산시 신창면 행목로 50 ,산시 신
서울교통공사,1호선,청량리,서울특별시 동대문구 왕산로 328-1,서울특별시 동대문구 왕산로 지하 205 ,동대문구
서울교통공사,1호선,제기동,서울특별시 동대문구 제기동 65,서울특별시 동대문구 왕산로 지하 93 ,동대문구
서울교통공사,1호선,신설동,서울특별시 동대문구 신설동 76-5,서울특별시 동대문구 왕산로 지하 1 ,동대문구
서울교통공사,1호선,동묘앞,서울특별시 종로구 숭인동 117,서울특별시 종로구 종로 359 ,종로구
서울교통공사,1호선,동대문,서울특별시 종로구 창신동 492-1,서울특별시 종로구 종로 지하 302 ,종로구
서울교통공사,1호선,종로5가,서울특별시 종로구 종로5가 82-1,서울특별시 종로구 종로 지하 216  ,종로구
서울교통공사,1호선,종로3가,서울특별시 종로구 종로3가 10-5,서울특별시 종로구 종로 지하 129 ,종로구
서울교통공사,1호선,종각,서울특별시 종로구 종로1가 54,서울특별시 종로구 종로 지하 55 ,종로구
서울교통공사,1호선,시청,서울특별시 중구 정동 5-5,서울특별시 세종대로 지하 101 ,중구
서울교통공사,1호선,서울역,서울특별시 중구 남대문로5가 73-6,서울특별시 세종대로 지하 2 ,중구
철도운영기관명,선명,역명,지번주소,도로명주소,
서울교통공사,2호선,시청,서울특별시 중구 서소문동 90-1,서울특별시 중구 서소문로 지하 127 ,중구
서울교통공사,2호선,을지로입구,서울특별시 중구 을지로3가 347-3,서울특별시 중구 을지로 지하 42 ,중구
서울교통공사,2호선,을지로3가,서울 중구 을지로3가 70-1,서울특별시 중구 을지로 지하 106 ,을지로3
서울교통공사,2호선,을지로4가,서울특별시 중구 을지로4가 267-1,서울특별시 중구 을지로 지하 178 ,중구
서울교통공사,2호선,동대문역사문화공원,서울특별시 중구 을지로7가 112-3,서울특별시 중구 을지로 지하 279 ,중구
서울교통공사,2호선,신당,서울특별시 중구 신당동 99,서울특별시 중구 퇴계로 지하 431-1 ,중구
서울교통공사,2호선,상왕십리,서울특별시 성동구 하왕십리동 946-14,서울특별시 성동구 왕십리로 지하 374 ,성동구
서울교통공사,2호선,왕십리,서울특별시 성동구 행당동 192,서울특별시 성동구 왕십리로 지하 300 ,성동구
서울교통공사,2호선,한양대,서울특별시 성동구 행당동 산17,서울특별시 성동구 왕십리로 206 ,성동구
서울교통공사,2호선,뚝섬,서울특별시 성동구 성수동1가 656-745,서울특별시 성동구 아차산로 18 ,성동구
서울교통공사,2호선,성수,서울특별시 성동구 성수동2가 300-1,서울특별시 성동구 아차산로 100 ,성동구
서울교통공사,2호선,건대입구,서울특별시 광진구 화양동 7-3,서울특별시 광진구 아차산로 243 ,광진구
서울교통공사,2호선,구의,서울특별시 광진구 구의동 245-24,서울특별시 광진구 아차산로 384-1 ,광진구
서울교통공사,2호선,강변,서울특별시 광진구 구의동 546-6,서울특별시 광진구 강변역로 53 ,광진구
서울교통공사,2호선,잠실나루,서울특별시 송파구 신천동 15,서울특별시 송파구 오금로 20 ,송파구
서울교통공사,2호선,잠실,서울특별시 송파구 잠실동 8,서울특별시 송파구 올림픽로 지하 265 ,송파구
서울교통공사,2호선,잠실새내,서울특별시 송파구 잠실동 33,서울특별시 송파구 올림픽로 지하 140 ,송파구
서울교통공사,2호선,종합운동장,서울특별시 송파구 잠실동 122,서울특별시 송파구 올림픽로 지하 23 ,송파구
서울교통공사,2호선,삼성,서울특별시 강남구 삼성동 172-66,서울특별시 강남구 테헤란로 지하 538 ,강남구
서울교통공사,2호선,선릉,서울특별시 강남구 삼성동 172-66,서울특별시 강남구 테헤란로 지하 340 ,강남구
서울교통공사,2호선,역삼,서울특별시 강남구 역삼동 804,서울특별시 강남구 테헤란로 지하 156 ,강남구
서울교통공사,2호선,강남,서울특별시 강남구 역삼동 858,서울특별시 강남구 강남대로 지하 396 ,강남구
서울교통공사,2호선,교대,서울특별시 서초구 서초동 1748-4,서울특별시 서초구 서초대로 지하 294 ,서초구
서울교통공사,2호선,서초,서울특별시 서초구 서초동 1748-5,서울특별시 서초구 서초대로 지하 233 ,서초구
서울교통공사,2호선,방배,서울특별시 서초구 방배동 912-14,서울특별시 서초구 방배로 지하 80 ,서초구
서울교통공사,2호선,사당,서울특별시 동작구 사당동 1129,서울특별시 동작구 남부순환로 지하 2089,동작구
서울교통공사,2호선,낙성대,서울특별시 관악구 봉천동 1693-39,서울특별시 관악구 남부순환로 지하 1928,관악구
